rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
505,615,-0.044721,0.997002,0.0000,0.0010,-0.006073,0.000000,0.006073,nontool
506,586,-0.044721,0.997002,0.0000,0.0010,-0.005279,0.000000,0.005279,nontool
507,722,-0.044721,0.997002,0.0000,0.0010,-0.006087,0.000000,0.006087,nontool
508,741,-0.044721,0.997002,0.0000,0.0010,-0.006656,0.000000,0.006656,nontool
509,110,0.044721,0.997503,0.0010,0.0000,0.004509,0.004509,0.000000,tool
510,350,-0.044721,0.997002,0.0000,0.0010,-0.004306,0.000000,0.004306,nontool
511,13,0.044721,0.997503,0.0010,0.0000,0.005765,0.005765,0.000000,tool
512,8,-0.044721,0.997002,0.0000,0.0010,-0.004923,0.000000,0.004923,nontool
513,314,-0.044721,0.997002,0.0000,0.0010,-0.005268,0.000000,0.005268,nontool
514,259,0.044721,0.997503,0.0010,0.0000,0.002869,0.002869,0.000000,tool
515,405,0.044721,0.997503,0.0010,0.0000,0.003845,0.003845,0.000000,tool
516,459,-0.044721,0.997002,0.0000,0.0010,-0.004500,0.000000,0.004500,nontool
517,802,-0.044721,0.997002,0.0000,0.0010,-0.005442,0.000000,0.005442,nontool
518,659,-0.044721,0.997063,0.0000,0.0010,-0.007449,0.000000,0.007449,nontool
519,71,-0.044721,0.997002,0.0000,0.0010,-0.006646,0.000000,0.006646,nontool
520,288,0.044721,0.997503,0.0010,0.0000,0.003315,0.003315,0.000000,tool
521,80,-0.044721,0.997002,0.0000,0.0010,-0.004274,0.000000,0.004274,nontool
522,559,-0.044720,0.997002,0.0000,0.0010,-0.004273,0.000000,0.004273,nontool
523,678,0.044103,0.997018,0.0030,0.0010,0.007308,0.011069,0.003761,tool
524,539,-0.043480,0.992634,0.0040,0.0050,-0.015353,0.015082,0.030435,nontool
525,610,0.043192,0.997006,0.0040,0.0010,0.008636,0.013932,0.005296,tool
526,364,0.043123,0.995015,0.0070,0.0030,0.012351,0.026272,0.013921,tool
527,695,0.043004,0.997017,0.0030,0.0010,0.007406,0.011408,0.004002,tool
528,209,-0.042414,0.995035,0.0010,0.0030,-0.010570,0.005823,0.016393,nontool
529,416,-0.042063,0.996018,0.0010,0.0020,-0.012773,0.004368,0.017141,nontool
530,609,0.041304,0.997032,0.0030,0.0010,0.006757,0.010693,0.003936,tool
531,381,-0.041236,0.996004,0.0010,0.0020,-0.007615,0.003153,0.010768,nontool
532,425,-0.041151,0.978079,0.0150,0.0170,-0.034943,0.077211,0.112155,nontool
