rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
342,1036,-0.076388,0.995033,0.0000,0.0030,-0.013270,0.000000,0.013270,nontool
343,1070,0.076343,0.996013,0.0080,0.0020,0.020784,0.029547,0.008763,tool
344,1435,0.076284,0.997505,0.0030,0.0000,0.024158,0.024158,0.000000,tool
345,1424,-0.076258,0.995004,0.0000,0.0030,-0.013571,0.000000,0.013571,nontool
346,1167,-0.076203,0.988883,0.0020,0.0080,-0.036292,0.014573,0.050864,nontool
347,1263,-0.075990,0.995004,0.0000,0.0030,-0.053133,0.000000,0.053133,nontool
348,1228,-0.075926,0.995004,0.0000,0.0030,-0.016816,0.000000,0.016816,nontool
349,1090,-0.075891,0.987219,0.0050,0.0090,-0.029226,0.016676,0.045903,nontool
350,1497,-0.075814,0.995033,0.0000,0.0030,-0.016798,0.000000,0.016798,nontool
351,1258,-0.075533,0.995004,0.0000,0.0030,-0.016330,0.000000,0.016330,nontool
352,1443,-0.075484,0.995126,0.0000,0.0030,-0.016858,0.000000,0.016858,nontool
353,1343,-0.075144,0.991895,0.0020,0.0060,-0.023611,0.007367,0.030978,nontool
354,1206,-0.075021,0.995004,0.0000,0.0030,-0.013922,0.000000,0.013922,nontool
355,1049,0.074894,0.996027,0.0070,0.0020,0.023512,0.032328,0.008816,tool
356,1464,-0.074591,0.988876,0.0020,0.0080,-0.035790,0.013831,0.049621,nontool
357,980,-0.074572,0.995004,0.0000,0.0030,-0.019002,0.000000,0.019002,nontool
358,1157,-0.074338,0.995004,0.0000,0.0030,-0.015174,0.000000,0.015174,nontool
359,1588,0.074302,0.982192,0.0270,0.0130,0.125932,0.244858,0.118926,tool
360,1415,-0.073865,0.995004,0.0000,0.0030,-0.023209,0.000000,0.023209,nontool
361,1366,-0.072898,0.973023,0.0180,0.0200,-0.051468,0.067583,0.119051,nontool
362,1333,-0.072780,0.995009,0.0000,0.0030,-0.020285,0.000000,0.020285,nontool
363,1012,0.072731,0.976930,0.0330,0.0170,0.053957,0.141252,0.087295,tool
364,1315,0.072166,0.997014,0.0040,0.0010,0.026327,0.030752,0.004425,tool
365,1563,-0.072095,0.995017,0.0000,0.0030,-0.022389,0.000000,0.022389,nontool
366,1580,-0.071652,0.988871,0.0010,0.0080,-0.038071,0.013616,0.051687,nontool
367,1534,-0.071601,0.987235,0.0040,0.0090,-0.036042,0.019233,0.055276,nontool
368,1179,-0.071372,0.984831,0.0090,0.0110,-0.040482,0.031077,0.071558,nontool
369,883,0.070944,0.992560,0.0140,0.0050,0.031299,0.057876,0.026577,tool
370,1250,0.070811,0.997506,0.0030,0.0000,0.014190,0.014190,0.000000,tool
371,1565,-0.070742,0.995004,0.0000,0.0030,-0.030944,0.000000,0.030944,nontool
372,1376,-0.070193,0.995010,0.0010,0.0030,-0.040920,0.003568,0.044488,nontool
373,1468,-0.069888,0.988899,0.0030,0.0080,-0.026836,0.014845,0.041681,nontool
374,1118,-0.069799,0.982061,0.0060,0.0130,-0.029216,0.025662,0.054878,nontool
375,1163,0.069546,0.997011,0.0060,0.0010,0.017298,0.023147,0.005849,tool
376,942,0.069067,0.986527,0.0210,0.0100,0.033916,0.077847,0.043931,tool
377,1278,-0.068839,0.992005,0.0040,0.0060,-0.043053,0.014394,0.057448,nontool
378,1147,0.068431,0.997023,0.0040,0.0010,0.019409,0.023536,0.004127,tool
379,923,0.068236,0.997065,0.0050,0.0010,0.012920,0.016801,0.003881,tool
380,1016,-0.067630,0.978401,0.0080,0.0160,-0.048896,0.052771,0.101667,nontool
381,1064,0.067381,0.992041,0.0110,0.0060,0.049187,0.079595,0.030408,tool
382,1158,-0.067182,0.990246,0.0020,0.0070,-0.026825,0.013274,0.040099,nontool
383,990,0.066739,0.996133,0.0070,0.0020,0.024345,0.035038,0.010693,tool
384,944,0.066276,0.994027,0.0110,0.0040,0.019749,0.035537,0.015788,tool
385,1160,0.066085,0.991971,0.0130,0.0060,0.040219,0.074597,0.034379,tool
386,1189,0.065047,0.997035,0.0040,0.0010,0.041818,0.050284,0.008466,tool
387,891,0.064808,0.997022,0.0030,0.0010,0.031882,0.037069,0.005187,tool
388,1004,-0.064741,0.994011,0.0010,0.0040,-0.013624,0.003604,0.017229,nontool
389,988,-0.064723,0.990267,0.0030,0.0070,-0.033644,0.014719,0.048363,nontool
390,1498,-0.064645,0.986583,0.0060,0.0100,-0.026562,0.022747,0.049309,nontool
391,884,-0.064166,0.988871,0.0050,0.0080,-0.024367,0.017829,0.042195,nontool
392,973,-0.063410,0.994012,0.0010,0.0040,-0.015262,0.004331,0.019593,nontool
393,1009,-0.063304,0.963801,0.0150,0.0280,-0.048573,0.080862,0.129435,nontool
394,1633,0.063277,0.997080,0.0020,0.0000,0.010000,0.010000,0.000000,tool
395,1192,0.063277,0.997262,0.0020,0.0000,0.009261,0.009261,0.000000,tool
396,1223,0.063277,0.997505,0.0020,0.0000,0.011198,0.011198,0.000000,tool
397,1369,0.063277,0.997505,0.0020,0.0000,0.012317,0.012317,0.000000,tool
398,938,0.063276,0.997566,0.0020,0.0000,0.007385,0.007385,0.000000,tool
399,906,0.063276,0.997504,0.0020,0.0000,0.007172,0.007172,0.000000,tool
400,975,-0.063276,0.996003,0.0000,0.0020,-0.010606,0.000000,0.010606,nontool
401,1627,0.063276,0.997505,0.0020,0.0000,0.012655,0.012655,0.000000,tool
402,1222,-0.063275,0.996003,0.0000,0.0020,-0.012543,0.000000,0.012543,nontool
403,1463,0.063267,0.997518,0.0020,0.0000,0.006652,0.006652,0.000000,tool
404,1395,-0.063265,0.996033,0.0000,0.0020,-0.013341,0.000000,0.013341,nontool
405,1594,0.063262,0.997504,0.0020,0.0000,0.005829,0.005829,0.000000,tool
406,1432,-0.063220,0.996003,0.0000,0.0020,-0.009092,0.000000,0.009092,nontool
407,1309,-0.063210,0.996003,0.0000,0.0020,-0.011376,0.000000,0.011376,nontool
408,1602,-0.063193,0.996003,0.0000,0.0020,-0.009044,0.000000,0.009044,nontool
409,1556,-0.063190,0.996003,0.0000,0.0020,-0.007750,0.000000,0.007750,nontool
410,1279,-0.063186,0.996003,0.0000,0.0020,-0.011378,0.000000,0.011378,nontool
411,1169,-0.063176,0.996003,0.0000,0.0020,-0.011418,0.000000,0.011418,nontool
