name,architecture,variant_family,regime,dict_size,topk,exclusive_pct,exclusive_pct_label,model_side,metric_family,stage,value
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,format_accuracy,delta,39.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,overall_score,delta,1.19
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,overall_score,delta,0.24
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,tool_correctness,delta,40.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,tool_correctness,delta,12.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,format_accuracy,post,50.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,overall_score,post,0.5
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,overall_score,post,-0.94
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,tool_correctness,post,50.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,tool_correctness,post,3.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,format_accuracy,delta,31.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,overall_score,delta,0.93
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,overall_score,delta,0.06
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,tool_correctness,delta,31.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,tool_correctness,delta,3.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,A,overall_score,pre,-0.43
