dict_size,exclusive_pct,regime,metric,comparison,delta
16384,0.0,CrossCoder no-L1,tool_correctness_B_post,90->160,0.0
16384,0.0,CrossCoder no-L1,format_accuracy_A_post,45->160,-11.0
16384,0.0,CrossCoder no-L1,format_accuracy_B_post,45->160,0.0
16384,0.0,CrossCoder no-L1,overall_score_A_post,45->160,-0.32999999999999996
16384,0.0,CrossCoder no-L1,overall_score_B_post,45->160,0.020000000000000018
16384,0.0,CrossCoder no-L1,tool_correctness_A_post,45->160,-11.0
16384,0.0,CrossCoder no-L1,tool_correctness_B_post,45->160,1.0
16384,0.03,DFC free-exclusive,format_accuracy_A_post,45->90,-8.0
16384,0.03,DFC free-exclusive,format_accuracy_B_post,45->90,0.0
16384,0.03,DFC free-exclusive,overall_score_A_post,45->90,-0.26
16384,0.03,DFC free-exclusive,overall_score_B_post,45->90,0.06000000000000005
16384,0.03,DFC free-exclusive,tool_correctness_A_post,45->90,-9.0
16384,0.03,DFC free-exclusive,tool_correctness_B_post,45->90,3.0
16384,0.03,DFC free-exclusive,format_accuracy_A_post,90->160,8.0
16384,0.03,DFC free-exclusive,format_accuracy_B_post,90->160,0.0
16384,0.03,DFC free-exclusive,overall_score_A_post,90->160,0.26
16384,0.03,DFC free-exclusive,overall_score_B_post,90->160,-0.12
16384,0.03,DFC free-exclusive,tool_correctness_A_post,90->160,9.0
16384,0.03,DFC free-exclusive,tool_correctness_B_post,90->160,-6.0
16384,0.03,DFC free-exclusive,format_accuracy_A_post,45->160,0.0
16384,0.03,DFC free-exclusive,format_accuracy_B_post,45->160,0.0
16384,0.03,DFC free-exclusive,overall_score_A_post,45->160,0.0
16384,0.03,DFC free-exclusive,overall_score_B_post,45->160,-0.05999999999999994
16384,0.03,DFC free-exclusive,tool_correctness_A_post,45->160,0.0
16384,0.03,DFC free-exclusive,tool_correctness_B_post,45->160,-3.0
16384,0.03,DFC penalized-exclusive,format_accuracy_A_post,45->90,0.0
16384,0.03,DFC penalized-exclusive,format_accuracy_B_post,45->90,0.0
16384,0.03,DFC penalized-exclusive,overall_score_A_post,45->90,-0.020000000000000018
16384,0.03,DFC penalized-exclusive,overall_score_B_post,45->90,0.020000000000000018
16384,0.03,DFC penalized-exclusive,tool_correctness_A_post,45->90,-1.0
16384,0.03,DFC penalized-exclusive,tool_correctness_B_post,45->90,1.0
16384,0.03,DFC penalized-exclusive,format_accuracy_A_post,90->160,10.0
16384,0.03,DFC penalized-exclusive,format_accuracy_B_post,90->160,0.0
16384,0.03,DFC penalized-exclusive,overall_score_A_post,90->160,0.30000000000000004
16384,0.03,DFC penalized-exclusive,overall_score_B_post,90->160,0.020000000000000018
16384,0.03,DFC penalized-exclusive,tool_correctness_A_post,90->160,10.0
16384,0.03,DFC penalized-exclusive,tool_correctness_B_post,90->160,1.0
16384,0.03,DFC penalized-exclusive,format_accuracy_A_post,45->160,10.0
16384,0.03,DFC penalized-exclusive,format_accuracy_B_post,45->160,0.0
16384,0.03,DFC penalized-exclusive,overall_score_A_post,45->160,0.28
16384,0.03,DFC penalized-exclusive,overall_score_B_post,45->160,0.040000000000000036
16384,0.03,DFC penalized-exclusive,tool_correctness_A_post,45->160,9.0
16384,0.03,DFC penalized-exclusive,tool_correctness_B_post,45->160,2.0
16384,0.05,DFC free-exclusive,format_accuracy_A_post,45->90,-5.0
16384,0.05,DFC free-exclusive,format_accuracy_B_post,45->90,0.0
16384,0.05,DFC free-exclusive,overall_score_A_post,45->90,-0.10999999999999999
16384,0.05,DFC free-exclusive,overall_score_B_post,45->90,0.020000000000000018
16384,0.05,DFC free-exclusive,tool_correctness_A_post,45->90,-3.0
16384,0.05,DFC free-exclusive,tool_correctness_B_post,45->90,1.0
16384,0.05,DFC free-exclusive,format_accuracy_A_post,90->160,15.0
16384,0.05,DFC free-exclusive,format_accuracy_B_post,90->160,0.0
16384,0.05,DFC free-exclusive,overall_score_A_post,90->160,0.41
16384,0.05,DFC free-exclusive,overall_score_B_post,90->160,-0.07999999999999996
16384,0.05,DFC free-exclusive,tool_correctness_A_post,90->160,13.0
16384,0.05,DFC free-exclusive,tool_correctness_B_post,90->160,-4.0
16384,0.05,DFC free-exclusive,format_accuracy_A_post,45->160,10.0
16384,0.05,DFC free-exclusive,format_accuracy_B_post,45->160,0.0
16384,0.05,DFC free-exclusive,overall_score_A_post,45->160,0.3
16384,0.05,DFC free-exclusive,overall_score_B_post,45->160,-0.05999999999999994
16384,0.05,DFC free-exclusive,tool_correctness_A_post,45->160,10.0
16384,0.05,DFC free-exclusive,tool_correctness_B_post,45->160,-3.0
16384,0.05,DFC penalized-exclusive,format_accuracy_A_post,45->90,4.0
16384,0.05,DFC penalized-exclusive,format_accuracy_B_post,45->90,0.0
16384,0.05,DFC penalized-exclusive,overall_score_A_post,45->90,0.12
16384,0.05,DFC penalized-exclusive,overall_score_B_post,45->90,0.0
16384,0.05,DFC penalized-exclusive,tool_correctness_A_post,45->90,4.0
16384,0.05,DFC penalized-exclusive,tool_correctness_B_post,45->90,0.0
16384,0.05,DFC penalized-exclusive,format_accuracy_A_post,90->160,0.0
16384,0.05,DFC penalized-exclusive,format_accuracy_B_post,90->160,0.0
16384,0.05,DFC penalized-exclusive,overall_score_A_post,90->160,0.0
16384,0.05,DFC penalized-exclusive,overall_score_B_post,90->160,0.019999999999999907
16384,0.05,DFC penalized-exclusive,tool_correctness_A_post,90->160,0.0
16384,0.05,DFC penalized-exclusive,tool_correctness_B_post,90->160,1.0
16384,0.05,DFC penalized-exclusive,format_accuracy_A_post,45->160,4.0
16384,0.05,DFC penalized-exclusive,format_accuracy_B_post,45->160,0.0
16384,0.05,DFC penalized-exclusive,overall_score_A_post,45->160,0.12
16384,0.05,DFC penalized-exclusive,overall_score_B_post,45->160,0.019999999999999907
16384,0.05,DFC penalized-exclusive,tool_correctness_A_post,45->160,4.0
16384,0.05,DFC penalized-exclusive,tool_correctness_B_post,45->160,1.0
16384,0.1,DFC free-exclusive,format_accuracy_A_post,45->90,24.0
16384,0.1,DFC free-exclusive,format_accuracy_B_post,45->90,0.0
16384,0.1,DFC free-exclusive,overall_score_A_post,45->90,0.7
16384,0.1,DFC free-exclusive,overall_score_B_post,45->90,0.36
16384,0.1,DFC free-exclusive,tool_correctness_A_post,45->90,23.0
16384,0.1,DFC free-exclusive,tool_correctness_B_post,45->90,18.0
16384,0.1,DFC free-exclusive,format_accuracy_A_post,90->160,2.0
